ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
27,1,0,21,9,"[4911, 8173, 2138, 262, 5563, 7144, 2699, 2791, 1649, 5798]",1.742,0.499,1.666,0.0004719650264818445,0.01698521211085841,True
28,1,0,21,9,"[4567, 4730, 7829, 4363, 7992, 4404, 7666, 5668, 5097, 6035]",1.352,0.502,1.081,0.00025238238138416134,0.00020394026372668725,True
29,1,0,21,9,"[5913, 9012, 9175, 5750, 5016, 5179, 2488, 8278, 8319, 8482]",1.034,0.507,0.851,0.0001859123732588914,1.6876075714209275e-05,True
30,1,0,21,9,"[5791, 9053, 9379, 9216, 2366, 5954, 6117, 2529, 2692, 5628]",1.227,0.511,0.855,0.00046978575154246006,0.0165114660827096,True
31,1,0,21,9,"[5381, 8643, 2608, 4239, 6278, 2812, 6319, 3750, 3913, 8480]",1.458,0.515,1.297,0.00019446746241421971,2.4603865482965943e-05,True
32,1,0,21,9,"[5585, 8847, 5544, 9255, 5993, 2160, 8806, 5055, 8276, 5748]",1.259,0.522,1.084,0.0006685802960027708,0.1116341796572285,False
33,1,0,21,9,"[4873, 8135, 1472, 7017, 452, 2100, 6457, 6620, 3195, 595]",2.692,0.532,2.483,4.7173730203401167e-05,6.134792205086674e-11,True
34,1,0,21,9,"[5421, 8683, 8520, 8357, 5095, 5258, 7837, 7908, 2322, 2485]",1.318,0.542,1.096,0.00014109166551765017,1.5683391144682748e-06,True
35,1,0,21,9,"[4655, 7917, 5267, 2331, 8529, 6684, 2494, 5104, 5063, 8366]",1.47,0.542,1.306,7.699373480979812e-05,6.365310727964273e-09,True
36,1,0,21,9,"[2243, 8441, 5179, 8278, 9175, 5016, 2406, 5913, 5668, 9338]",1.218,0.543,1.015,0.0003792421278220945,0.004117001434874372,True
37,1,0,21,9,"[4634, 7896, 3737, 4593, 3044, 2983, 6306, 7692, 4308, 4756]",1.525,0.543,1.422,3.897610191857811e-06,1.3215622232160135e-21,True
38,1,0,21,9,"[5238, 8337, 8500, 5075, 5034, 5727, 2302, 5197, 8296, 2465]",1.496,0.546,1.33,0.0011375883888480045,0.6417476131817813,False
39,1,0,21,9,"[8512, 8349, 5250, 2477, 2314, 2151, 5087, 6830, 5739, 3741]",1.172,0.57,1.11,0.00014064845848577192,1.5255386922536654e-06,True
40,1,2,21,9,"[3614, 6876, 7457, 108, 7795, 2100, 536, 4501, 1107, 7029]",2.136,0.574,1.868,5.969240057388194e-07,9.653708334356283e-30,True
41,1,0,21,9,"[8465, 5203, 8302, 2430, 2267, 5855, 8424, 2756, 5692, 5040]",1.219,0.576,1.024,0.0004637963550430198,0.015259809444023565,True
42,1,0,21,9,"[6106, 9368, 5943, 2681, 9205, 5780, 9042, 3374, 2518, 8675]",1.276,0.578,1.051,6.744503374042665e-05,1.8384477199206758e-09,True
43,1,0,21,9,"[1590, 1753, 6972, 1671, 1631, 1916, 7074, 7013, 591, 5994]",2.009,0.588,1.794,1.5573768997480092e-05,1.2393645120047599e-15,True
44,1,0,21,9,"[8829, 5567, 7157, 2142, 4914, 1897, 1978, 4894, 8156, 1611]",1.784,0.59,1.715,0.0006030752063843699,0.06745813548660318,False
45,1,0,21,9,"[8895, 5633, 5959, 1463, 9221, 6122, 2371, 5796, 9058, 2534]",1.235,0.592,1.06,0.0009468327327527777,0.41529075830856405,False
46,1,0,21,9,"[5210, 8472, 8309, 5047, 2274, 2437, 5169, 5577, 2152, 3742]",1.362,0.594,1.078,0.00013500042771642863,1.0627230917775358e-06,True
47,1,1,21,9,"[1599, 1762, 1680, 1925, 7369, 7185, 1842, 7022, 2006, 1639]",2.319,0.594,2.056,2.1809099952050613e-07,4.104918651106182e-34,True
48,1,0,21,9,"[5515, 8777, 3884, 3721, 4210, 8176, 2121, 2141, 5546, 8849]",1.665,0.598,1.368,1.385124559122635e-06,4.3394093258440396e-26,True
49,1,0,21,9,"[5320, 8582, 2547, 2476, 5972, 5738, 3893, 5412, 7450, 4545]",1.54,0.6,1.507,0.000979289523635126,0.45596587421137885,False
50,1,1,21,8,"[21, 107, 3612, 580, 39, 7531, 3449, 8837, 1493]",1.77,0.605,1.372,2.202937953839662e-07,2.16471999907212e-30,True
51,1,1,21,9,"[3437, 1480, 95, 186, 7372, 1056, 7515, 3600, 6790, 9462]",1.719,0.606,1.56,1.479727319076159e-07,8.491951534709008e-36,True
52,1,0,21,9,"[5133, 8395, 5459, 8558, 2360, 8721, 4623, 7885, 3339, 8232]",1.396,0.606,1.236,9.841778429751969e-05,6.16641573804737e-08,True
53,1,0,21,9,"[1381, 9416, 9437, 9458, 9391, 1339, 9477, 47, 3394, 629]",1.642,0.609,1.194,0.00018699178201848245,1.7718152714786914e-05,True
54,1,0,21,9,"[9123, 5861, 5698, 8960, 2436, 3985, 8430, 2273, 5657, 4923]",1.34,0.61,1.151,0.00043569272960042874,0.010307092008431695,True
55,1,0,21,9,"[5603, 8865, 2504, 8539, 9028, 2341, 5766, 2178, 5929, 9191]",1.266,0.61,0.951,0.001432712811321308,0.8731163737421602,False
56,1,0,21,9,"[5218, 8480, 8317, 2649, 4239, 6074, 2282, 2445, 9336, 6421]",1.191,0.613,1.068,0.0001312395194479029,8.273720896790562e-07,True
57,1,0,21,9,"[2392, 5654, 5165, 2229, 8264, 8427, 2759, 5002, 8916, 7652]",1.257,0.615,1.111,0.00031383136388878546,0.0010729174382428724,True
58,1,0,21,9,"[5621, 8883, 2522, 2685, 4917, 5295, 2196, 2124, 4897, 5947]",1.34,0.617,1.256,0.00017409512796828907,9.678769036056132e-06,True
59,1,0,21,9,"[9116, 5854, 2755, 8953, 5691, 8586, 9279, 6017, 2429, 5324]",1.034,0.622,0.898,0.0002811440729610878,0.0004705056547125271,True
60,1,1,21,9,"[5504, 8766, 4566, 7665, 2242, 3914, 7828, 5015, 9092, 3751]",1.588,0.91,1.451,1.3382243709626873e-05,2.7718969069128707e-16,True
61,1,0,21,9,"[6046, 9308, 8982, 9145, 6005, 4741, 2580, 5679, 2621, 5108]",1.656,0.631,1.433,0.0029786708260266742,0.9999780930029308,False
62,1,1,21,9,"[660, 711, 518, 3430, 1473, 8161, 1090, 4899, 82, 61]",1.898,0.635,1.62,6.041243883017794e-07,1.0882792697380759e-29,True
63,1,0,21,9,"[3354, 6453, 6616, 3191, 7013, 3028, 8247, 6779, 1488, 4985]",1.499,0.639,1.453,0.0012153386201825514,0.7190029048526597,False
64,1,1,21,9,"[667, 718, 1097, 525, 6865, 68, 593, 1342, 1303, 738]",2.323,0.64,1.947,2.0953882937285838e-09,2.75666405103984e-54,True
65,1,0,21,9,"[3099, 6687, 6524, 3221, 3058, 3262, 6728, 6483, 2895, 3017]",1.38,0.646,0.979,0.00018039571094287496,1.3088077642153815e-05,True
66,1,0,21,9,"[5126, 8388, 9326, 2353, 6064, 8021, 5452, 9204, 2639, 6676]",1.33,0.652,1.282,0.00025973091134705626,0.0002553464158436959,True
67,1,0,21,9,"[6465, 6628, 3203, 3040, 3366, 7688, 7851, 3610, 4589, 2785]",1.638,0.653,1.361,8.872981729457057e-05,2.3775946674155733e-08,True
68,1,0,21,9,"[5230, 8329, 8492, 8655, 5189, 5067, 2294, 8533, 2335, 2172]",1.381,0.656,1.309,0.0008602063020403123,0.3078259313196681,False
69,1,0,21,9,"[5371, 8633, 5575, 2598, 8837, 5901, 3740, 2150, 6829, 9000]",1.291,0.658,1.155,0.0005698556485520601,0.05012816071485185,False
70,1,0,21,9,"[9158, 8995, 5733, 2593, 6059, 6018, 9321, 2634, 5896, 2471]",1.233,0.662,1.084,0.0009526106713511678,0.42254587240867286,False
71,1,0,21,9,"[4880, 8142, 2107, 1948, 7024, 92, 145, 1479, 358, 6871]",2.396,0.666,2.081,6.435703471659645e-05,1.1815661827881709e-09,True
72,1,0,21,9,"[8668, 5406, 5773, 9035, 2470, 8872, 2307, 3897, 2674, 8627]",1.301,0.667,1.206,0.0007070311442933982,0.1436873856149772,False
73,1,2,21,9,"[4837, 8099, 1452, 4185, 4348, 4267, 4491, 1118, 7050, 526]",2.076,0.668,1.965,8.671205037360457e-11,4.060138166009921e-68,True
74,1,0,21,9,"[1831, 1668, 588, 6887, 1750, 1994, 1587, 6989, 1505, 1891]",2.103,0.676,1.746,1.6829244112880823e-05,2.661926113109083e-15,True
75,1,0,21,9,"[5493, 8755, 8225, 2190, 2720, 4963, 9204, 5942, 6798, 6105]",1.35,0.68,0.982,0.00012871670419619674,6.962863428062732e-07,True
76,1,0,21,9,"[5829, 8928, 9091, 8194, 4932, 2159, 5666, 2567, 5095, 5258]",1.234,0.681,1.201,0.0003826181532104712,0.004373470829025495,True
77,1,0,21,9,"[6146, 5616, 8878, 3781, 2517, 2721, 5290, 8552, 2680, 2191]",1.45,0.682,1.164,0.0011160126045652438,0.6183914864958227,False
78,1,0,21,9,"[4641, 7903, 3744, 3907, 7587, 2806, 4233, 4447, 2939, 8637]",1.738,0.687,1.645,5.2032284959827144e-05,1.5679687057902783e-10,True
79,1,0,21,9,"[8377, 2342, 8214, 5115, 2179, 4952, 8540, 8703, 5278, 8866]",1.35,0.69,1.055,0.0006373216776997021,0.08888617310476299,False
80,1,0,21,9,"[3108, 6533, 6696, 3179, 3271, 2282, 2445, 8276, 8480, 1130]",1.584,0.693,1.479,0.0012436137770380146,0.7442286153325769,False
81,1,0,21,9,"[5596, 8858, 2497, 2334, 5759, 8532, 5066, 9021, 8328, 2171]",1.237,0.702,0.975,0.0014294061522402055,0.8714220638772202,False
82,1,0,21,9,"[7747, 4485, 2253, 4159, 2732, 3680, 8451, 4006, 9185, 7707]",1.859,0.703,1.722,5.781845126405098e-05,4.28173440552587e-10,True
83,1,0,21,9,"[5707, 8969, 2282, 5870, 8439, 9132, 8317, 8276, 5666, 8031]",1.318,0.705,1.204,0.0006632269410784451,0.1075240451805601,False
84,1,2,21,9,"[4722, 7984, 4192, 5272, 4783, 4742, 1459, 5109, 7026, 5354]",2.04,0.712,1.947,1.7360689553076763e-08,4.200984328689221e-45,True
