ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
53,1,0,43,4,"[5099, 8361, 8524, 5425, 2326]",1.922,1.144,1.888,1.0844579748233648e-65,1.8374389644e-314,True
54,1,0,43,2,"[6006, 9268, 2581]",1.862,1.172,1.517,9.348925946094159e-62,1.090343606348899e-176,True
55,1,0,43,2,"[5613, 8875, 2514]",1.896,1.177,1.536,2.3991130733444608e-63,1.842597061055872e-181,True
56,1,0,43,5,"[5685, 8947, 5848, 9110, 2260, 2423]",1.845,1.179,1.637,1.9573651141644074e-65,0.0,True
57,1,0,43,3,"[9174, 5912, 9011, 5749]",1.822,1.183,1.404,5.482206602060854e-65,1.2926981171410694e-248,True
58,1,0,43,2,"[5471, 8733, 2698]",1.327,1.185,1.256,1.2519990923345406e-62,2.618727230791789e-179,True
59,1,0,43,2,"[5318, 8580, 2545]",1.951,1.189,1.57,1.661645055494009e-63,6.121995427767022e-182,True
60,1,0,43,2,"[6024, 9286, 2599]",1.879,1.196,1.537,8.8713239377977e-61,9.316301516558903e-174,True
61,1,0,43,2,"[6443, 6606, 3181]",1.469,1.205,1.337,3.9345037095187466e-66,8.127333843832103e-190,True
62,1,0,43,2,"[4920, 8182, 2147]",1.959,1.208,1.584,1.2548179900801413e-62,2.6364554160690575e-179,True
63,1,0,43,2,"[4979, 8241, 2206]",1.523,1.221,1.372,7.149171079708138e-64,4.875793361808265e-183,True
64,1,0,43,1,"[4811, 8073]",1.23,1.23,1.23,3.3225200866743025e-63,1.0276997519646588e-120,True
65,1,0,43,3,"[6076, 9338, 2651, 9012]",1.834,1.232,1.761,6.043029524221763e-67,1.908509769086547e-256,True
66,1,0,43,3,"[9321, 6059, 2634, 9158]",1.924,1.248,1.669,1.086982212449403e-64,1.9978610137555515e-247,True
67,1,0,43,2,"[4948, 8210, 2175]",1.676,1.251,1.463,1.6471072341738573e-63,5.9627121747266725e-182,True
68,1,0,43,2,"[3168, 6430, 6593]",1.691,1.256,1.473,5.7205671010391715e-61,2.4980174890699347e-174,True
69,1,0,43,5,"[5697, 8959, 2272, 5860, 2435, 9122]",1.956,1.256,1.769,1.6397404546376394e-66,0.0,True
70,1,0,43,2,"[8687, 5425, 2652]",1.637,1.258,1.448,6.883268693057369e-66,4.35173449638478e-189,True
71,1,0,43,3,"[5970, 2545, 9232, 5807]",1.942,1.258,1.56,2.086221547265154e-61,2.7109232957400654e-234,True
72,1,0,43,2,"[5288, 8550, 2515]",1.638,1.273,1.456,2.668022069904596e-65,2.534232612232596e-187,True
73,1,0,43,2,"[5362, 8624, 2589]",1.87,1.278,1.574,3.7856938767688765e-63,7.239602144680226e-181,True
74,2,"0,1",43,2,"[5453, 8715, 2680]",1.834,1.411,1.622,1.2232117256394843e-128,0.0,True
75,1,0,43,4,"[4934, 8196, 2161, 5097, 8359]",1.803,1.282,1.593,3.0935231803801115e-64,3.470692687909683e-307,True
76,1,1,43,1,"[1480, 3437]",1.285,1.285,1.285,6.726182189166442e-63,4.211805182869883e-120,True
77,1,0,43,3,"[5342, 8604, 2569, 5179]",1.962,1.293,1.923,4.792752622883698e-63,7.55119311607763e-241,True
78,1,0,43,3,"[6455, 6618, 3030, 3193]",1.751,1.293,1.674,1.8066100454368725e-65,1.5245202801649207e-250,True
79,1,0,43,7,"[5163, 8262, 8425, 2227, 5000, 8466, 2268, 2390]",1.959,1.31,1.62,6.801204710267864e-67,0.0,True
80,1,0,43,3,"[3332, 6594, 6431, 3006]",1.904,1.355,1.848,2.2732000212273102e-65,3.821431936213105e-250,True
81,1,0,43,2,"[4964, 8226, 2191]",1.913,1.37,1.641,2.2080039620871244e-65,1.4364078413224777e-187,True
82,1,0,43,1,"[5330, 8592]",1.419,1.419,1.419,1.0911360316022563e-63,1.1083803454243396e-121,True
83,1,0,43,3,"[5652, 8914, 2390, 2227]",1.913,1.419,1.719,3.4721785976513665e-65,2.0800977592421364e-249,True
84,1,0,43,2,"[5982, 9244, 2557]",1.591,1.429,1.51,1.3082095406195352e-62,2.987515439308881e-179,True
85,1,0,43,1,"[6123, 2698]",1.44,1.44,1.44,2.594291935252454e-65,6.265687236762997e-125,True
86,1,0,43,1,"[6467, 6630]",1.452,1.452,1.452,1.4338856085618075e-63,1.9140797695706444e-121,True
87,1,0,43,1,"[6109, 2684]",1.464,1.464,1.464,7.870258287008257e-66,5.766456124581427e-126,True
