ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
31,1,1,6,16,"[7, 702, 1712, 175, 1470, 247, 1456, 1134, 151, 80, 1279, 486, 1423, 1374, 677, 1255, 608]",0.52,0.136,0.431,6.225461659933271e-06,2.7227624976553877e-48,True
32,1,0,6,6,"[1407, 547, 1344, 1413, 305, 450, 1745]",0.423,0.136,0.374,0.0009934193364330164,0.0028186211387457648,True
33,1,0,6,13,"[1313, 359, 1721, 1533, 635, 714, 1077, 43, 763, 495, 977, 738, 94, 1552]",0.579,0.136,0.46,0.0016912191614748893,5.125710806792927e-06,True
34,1,1,6,65,"[1692, 1490, 313, 1083, 721, 337, 1631, 1416, 161, 1465, 1826, 698, 1722, 1388, 747, 818, 1753, 951, 1138, 169, 265, 457, 1607, 1355, 193, 866, 649, 217, 1655, 681, 326, 640, 1451, 289, 938, 1408, 781, 1212, 769, 1178, 505, 495, 1777, 1791, 883, 962, 1106, 1225, 1537, 1561, 1667, 1009, 1716, 482, 435, 121, 1512, 1307, 1403, 1771, 898, 1188, 1812, 88, 25, 1057]",1.634,0.145,1.427,0.0015073709620856794,8.388573181643503e-66,True
35,1,0,6,14,"[1435, 1414, 358, 522, 1336, 1529, 306, 1746, 717, 1462, 1698, 1577, 42, 378, 141]",0.514,0.145,0.448,0.003177975625144342,0.0010985821650570304,True
36,1,0,6,80,"[543, 591, 1433, 1110, 1816, 655, 871, 757, 473, 14, 1096, 752, 1376, 1136, 792, 1509, 1166, 1784, 631, 1047, 1543, 1130, 785, 1830, 440, 1597, 113, 1399, 502, 1710, 1614, 946, 1842, 1774, 175, 319, 395, 1591, 1759, 1751, 775, 1662, 1638, 846, 967, 204, 1082, 1105, 92, 1471, 799, 55, 1767, 1281, 1158, 1183, 324, 1567, 643, 879, 711, 1262, 567, 1319, 295, 678, 343, 1331, 429, 1248, 665, 895, 1629, 936, 1476, 1735, 703, 727, 1695, 1303, 1367]",1.794,0.152,1.492,0.0003028094962176332,5.675979375792533e-143,True
37,1,1,6,12,"[1230, 676, 270, 195, 100, 1539, 52, 797, 1587, 445, 606, 532, 1180]",0.398,0.158,0.368,0.001215820023546337,7.161465789085382e-07,True
38,1,2,6,1,"[329, 401]",0.163,0.163,0.163,0.0003337246063846186,0.12708369543119793,False
39,1,1,6,1,"[426, 623]",0.171,0.171,0.171,0.0032486399627094822,0.9826765246299505,False
40,1,2,6,45,"[825, 996, 661, 447, 1472, 442, 32, 1545, 1450, 1289, 391, 1183, 274, 946, 1354, 207, 511, 1304, 1381, 1519, 1088, 982, 1207, 1159, 1066, 801, 1083, 344, 254, 703, 752, 1524, 847, 1334, 1616, 679, 1664, 1496, 199, 151, 320, 1232, 968, 368, 155, 1711]",1.672,0.172,1.468,9.739453581468242e-07,5.265667504344062e-185,True
41,1,1,6,51,"[421, 1299, 1044, 1323, 1593, 1641, 674, 1252, 1371, 1347, 1617, 925, 1538, 243, 1562, 913, 1586, 1140, 1429, 985, 1443, 386, 1569, 1130, 1452, 443, 771, 99, 170, 1812, 1037, 890, 1545, 554, 75, 531, 854, 459, 1199, 133, 1731, 843, 315, 942, 1514, 1395, 651, 1179, 123, 1521, 662, 723]",1.417,0.176,1.064,0.0021587873873081674,2.1833257060841356e-39,True
42,1,1,6,16,"[1819, 564, 600, 733, 898, 1697, 88, 49, 1009, 1716, 481, 1606, 769, 495, 265, 1654, 1770]",0.775,0.177,0.707,0.0029001873276514405,4.3912657337692113e-05,True
43,1,0,6,2,"[1069, 1099, 177]",0.288,0.185,0.236,0.013676776748574253,0.9999999967331815,False
44,1,1,6,14,"[956, 1000, 14, 808, 1761, 1122, 779, 1193, 1169, 903, 1700, 1509, 594, 696, 910]",0.85,0.192,0.768,0.004138918232156914,0.011727819859528766,True
45,1,0,6,47,"[282, 1185, 264, 671, 1727, 1483, 1219, 307, 251, 1790, 1234, 1321, 882, 1581, 838, 1264, 379, 1627, 564, 1691, 48, 180, 451, 259, 167, 1747, 142, 192, 595, 548, 1365, 1650, 1654, 1606, 1778, 864, 705, 237, 1602, 977, 613, 241, 889, 1345, 495, 286, 1388, 1340]",1.046,0.192,0.883,0.004216016539499549,1.5036115245224416e-22,True
46,1,2,6,16,"[1686, 870, 1255, 342, 6, 1448, 1302, 919, 126, 1783, 1566, 1710, 1542, 1638, 1590, 1280, 630]",0.408,0.202,0.353,4.235450680800935e-07,3.942185112786447e-68,True
47,1,0,6,40,"[805, 1277, 1799, 1356, 953, 427, 1370, 776, 506, 771, 662, 25, 963, 69, 1839, 868, 823, 77, 650, 748, 1547, 1093, 1203, 1113, 34, 876, 600, 766, 410, 314, 152, 1034, 1043, 291, 339, 515, 723, 1681, 1770, 132, 1403]",1.532,0.215,1.369,0.0001494767109570519,1.698899794471838e-73,True
48,1,1,6,17,"[1385, 1056, 575, 1246, 1362, 1526, 1313, 39, 1549, 1752, 1823, 137, 786, 157, 593, 1581, 1020, 476]",0.957,0.219,0.914,0.0001895907076583409,6.363701442961733e-25,True
49,1,1,6,8,"[468, 325, 1752, 1526, 1379, 720, 1001, 202, 689]",0.917,0.22,0.785,0.00046054147570179357,2.9234106115253154e-07,True
50,1,2,6,64,"[1143, 488, 1456, 945, 1449, 223, 1353, 1471, 1066, 1303, 631, 175, 199, 871, 273, 511, 1639, 1376, 105, 1663, 831, 1088, 31, 995, 559, 368, 417, 1281, 895, 1432, 1816, 1183, 1687, 1615, 752, 1039, 1518, 343, 981, 1047, 497, 1137, 248, 55, 1256, 391, 320, 728, 441, 703, 1620, 297, 1114, 800, 616, 1807, 609, 1288, 151, 1424, 80, 847, 127, 1328, 7]",1.167,0.226,0.855,0.02781672662204361,0.03462176722045269,False
51,1,1,6,69,"[465, 1200, 694, 1792, 926, 711, 686, 395, 858, 954, 1174, 1580, 38, 998, 1404, 1164, 1520, 1568, 885, 785, 136, 1361, 730, 1144, 760, 298, 1424, 1209, 1410, 566, 592, 970, 71, 832, 1339, 1507, 1544, 737, 1060, 156, 561, 1050, 1262, 327, 1774, 1332, 491, 1836, 1390, 1055, 1597, 12, 806, 1573, 1501, 1027, 61, 1767, 1787, 1672, 544, 1665, 1329, 610, 777, 129, 1308, 1238, 1816, 878]",2.061,0.235,1.767,0.0018410276636993462,1.317655994302341e-65,True
